diameter,height,shucked_weight,shell_weight,rings,sex_F,sex_M
0.225,0.075,0.0455,0.044,9,0,1
0.17,0.055,0.018,0.0195,7,0,1
0.255,0.08,0.06,0.054,10,0,1
0.38,0.14,0.2175,0.195,18,0,0
0.385,0.115,0.2945,0.195,12,1,0
0.385,0.105,0.1795,0.17,17,1,0
0.36,0.105,0.214,0.14,15,0,0
0.405,0.16,0.2655,0.225,12,1,0
0.335,0.095,0.1205,0.125,10,1,0
0.305,0.095,0.1255,0.09,8,1,0
0.415,0.145,0.3845,0.265,21,0,0
0.265,0.085,0.077,0.065,10,0,1
0.365,0.115,0.223,0.1335,9,0,0
0.34,0.12,0.1555,0.1405,7,1,0
0.365,0.125,0.1895,0.158,10,0,1
0.36,0.13,0.198,0.165,9,0,0
0.295,0.1,0.066,0.075,9,0,1
0.265,0.09,0.05,0.063,8,0,1
0.235,0.1,0.1055,0.08,7,0,1
0.26,0.085,0.081,0.055,6,0,1
0.345,0.12,0.1965,0.16,14,0,0
0.4,0.13,0.219,0.195,13,1,0
0.24,0.085,0.0795,0.05,7,0,1
0.485,0.18,0.4675,0.39,13,0,0
0.45,0.16,0.358,0.315,19,1,0
0.255,0.095,0.0735,0.06,7,0,1
0.34,0.13,0.1605,0.105,9,0,1
0.33,0.12,0.12,0.105,11,0,0
0.215,0.075,0.045,0.035,6,0,1
0.375,0.145,0.216,0.17,9,0,1
0.35,0.12,0.193,0.155,11,0,0
0.36,0.125,0.1695,0.14,9,1,0
0.18,0.065,0.034,0.025,5,0,1
0.245,0.09,0.0595,0.06,6,0,0
0.35,0.13,0.1845,0.145,11,0,0
0.225,0.08,0.054,0.05,7,0,1
0.28,0.11,0.0945,0.075,10,1,0
0.215,0.075,0.05,0.04,7,0,1
0.435,0.165,0.336,0.295,17,1,0
0.515,0.17,0.4305,0.42,16,1,0
0.49,0.195,0.5305,0.41,18,0,0
0.475,0.185,0.4145,0.33,11,1,0
0.525,0.18,0.597,0.53,18,0,0
0.45,0.17,0.3055,0.295,11,0,0
0.34,0.13,0.146,0.12,10,1,0
0.305,0.105,0.1045,0.09,12,1,0
0.355,0.12,0.1145,0.16,19,0,0
0.295,0.095,0.078,0.08,10,1,0
0.35,0.12,0.1815,0.16,11,0,1
0.38,0.15,0.2155,0.18,15,1,0
0.425,0.155,0.2775,0.335,13,0,1
0.35,0.145,0.1765,0.175,13,1,0
0.385,0.145,0.235,0.215,14,0,1
0.38,0.155,0.2405,0.205,17,1,0
0.41,0.165,0.24,0.24,19,1,0
0.39,0.15,0.225,0.17,21,0,1
0.385,0.15,0.241,0.24,23,1,0
0.395,0.18,0.158,0.245,22,1,0
0.415,0.145,0.2635,0.245,12,0,1
0.375,0.115,0.185,0.19,11,1,0
0.38,0.165,0.25,0.265,23,1,0
0.275,0.1,0.093,0.08,8,1,0
0.275,0.1,0.0885,0.07,7,0,0
0.37,0.14,0.204,0.175,10,0,1
0.325,0.115,0.154,0.12,7,1,0
0.405,0.185,0.3175,0.29,16,0,1
0.4,0.14,0.2455,0.185,10,0,1
0.44,0.185,0.344,0.255,15,0,1
0.4,0.15,0.3345,0.21,13,1,0
0.405,0.125,0.26,0.345,16,1,0
0.4,0.17,0.279,0.195,11,0,1
0.44,0.15,0.366,0.295,11,0,1
0.375,0.15,0.2535,0.19,10,0,1
0.19,0.075,0.0345,0.025,5,0,0
0.325,0.115,0.1475,0.11,11,1,0
0.29,0.12,0.1175,0.085,9,0,1
0.11,0.02,0.0065,0.005,4,0,0
0.23,0.09,0.043,0.04,7,0,0
0.105,0.05,0.005,0.005,4,0,0
0.205,0.1,0.0545,0.03,5,0,1
0.335,0.12,0.155,0.14,13,1,0
0.315,0.105,0.1185,0.1195,16,1,0
0.285,0.105,0.1215,0.0875,12,0,1
0.385,0.135,0.1895,0.173,14,1,0
0.33,0.105,0.18,0.123,9,1,0
0.295,0.115,0.1205,0.1105,12,0,1
0.3,0.125,0.191,0.1175,9,0,1
0.325,0.14,0.1535,0.144,10,0,1
0.25,0.09,0.0615,0.0795,11,0,1
0.26,0.09,0.0775,0.0765,10,1,0
0.295,0.13,0.0895,0.1005,10,0,1
0.225,0.09,0.0405,0.032,7,0,0
0.25,0.08,0.0595,0.063,7,0,0
0.3,0.1,0.104,0.083,11,0,1
0.205,0.055,0.045,0.0335,7,0,0
0.265,0.085,0.069,0.0695,8,0,1
0.255,0.08,0.08,0.063,9,0,1
0.2,0.065,0.0475,0.03,7,0,0
0.205,0.07,0.036,0.035,8,0,0
0.19,0.06,0.036,0.0245,6,0,0
0.125,0.035,0.0095,0.0085,4,0,0
0.1,0.025,0.0045,0.005,2,0,0
0.11,0.025,0.0065,0.005,3,0,0
0.455,0.16,0.3925,0.293,13,0,1
0.44,0.15,0.416,0.4405,15,0,1
0.41,0.13,0.3865,0.295,15,0,1
0.36,0.08,0.191,0.155,11,0,1
0.36,0.11,0.161,0.195,17,1,0
0.305,0.085,0.108,0.1,10,0,1
0.375,0.105,0.2185,0.155,12,1,0
0.4,0.125,0.2735,0.255,13,0,1
0.4,0.12,0.261,0.165,15,1,0
0.4,0.13,0.2405,0.275,11,0,1
0.42,0.13,0.374,0.23,13,0,1
0.4,0.12,0.298,0.265,15,0,1
0.38,0.13,0.227,0.22,13,0,1
0.425,0.12,0.2825,0.29,18,0,1
0.39,0.125,0.262,0.175,10,0,1
0.385,0.115,0.2385,0.205,12,0,1
0.405,0.125,0.2415,0.21,12,1,0
0.41,0.135,0.2855,0.32,14,0,1
0.345,0.09,0.143,0.125,10,0,1
0.44,0.205,0.32,0.245,14,0,1
0.265,0.09,0.078,0.06,8,1,0
0.42,0.15,0.2785,0.215,14,1,0
0.405,0.14,0.2795,0.26,17,1,0
0.415,0.13,0.275,0.265,20,0,1
0.42,0.13,0.34,0.265,17,1,0
0.52,0.2,0.673,0.45,17,1,0
0.385,0.14,0.2485,0.16,9,0,1
0.42,0.13,0.301,0.28,14,0,1
0.515,0.175,0.578,0.39,15,0,1
0.39,0.105,0.187,0.195,13,1,0
0.355,0.12,0.215,0.14,10,0,1
0.46,0.17,0.347,0.315,13,1,0
0.455,0.165,0.369,0.275,13,1,0
0.515,0.175,0.5295,0.525,20,0,1
0.505,0.185,0.69,0.35,13,0,1
0.525,0.155,0.367,0.37,20,0,1
0.495,0.19,0.469,0.41,15,1,0
0.44,0.155,0.4775,0.27,13,0,1
0.43,0.12,0.348,0.31,15,0,1
0.405,0.15,0.435,0.325,15,0,1
0.44,0.155,0.313,0.335,16,1,0
0.44,0.135,0.2385,0.3,17,1,0
0.51,0.19,0.6215,0.47,14,0,1
0.47,0.145,0.403,0.32,14,1,0
0.45,0.15,0.3365,0.3,11,0,1
0.445,0.13,0.3825,0.32,13,1,0
0.27,0.095,0.0665,0.07,9,0,1
0.43,0.155,0.289,0.233,11,1,0
0.425,0.17,0.3485,0.278,17,1,0
0.455,0.165,0.3155,0.2965,11,1,0
0.375,0.14,0.2,0.17,8,0,0
0.275,0.115,0.0975,0.085,8,0,1
0.34,0.135,0.1675,0.12,9,0,1
0.38,0.14,0.245,0.185,10,0,1
0.41,0.165,0.189,0.31,11,0,1
0.385,0.145,0.236,0.2,15,0,1
0.38,0.14,0.2305,0.195,13,0,1
0.35,0.14,0.2015,0.19,15,0,1
0.36,0.145,0.1725,0.195,15,1,0
0.41,0.165,0.3505,0.3,13,0,1
0.385,0.15,0.246,0.215,12,0,1
0.435,0.145,0.292,0.255,10,0,1
0.28,0.125,0.102,0.085,6,0,0
0.155,0.06,0.021,0.015,5,0,0
0.415,0.175,0.3295,0.2905,15,0,1
0.39,0.13,0.1975,0.1845,9,1,0
0.385,0.135,0.211,0.262,12,0,1
0.39,0.16,0.2475,0.1635,9,1,0
0.465,0.165,0.309,0.262,12,1,0
0.465,0.16,0.3145,0.263,10,1,0
0.375,0.135,0.1925,0.1685,10,1,0
0.37,0.18,0.1915,0.1625,9,0,1
0.45,0.165,0.3275,0.256,12,0,1
0.465,0.16,0.315,0.3635,12,0,1
0.405,0.145,0.215,0.234,15,0,1
0.41,0.155,0.2805,0.214,11,0,1
0.335,0.11,0.157,0.122,9,0,1
0.42,0.16,0.255,0.2885,11,0,1
0.345,0.11,0.125,0.117,11,1,0
0.34,0.135,0.1655,0.185,10,0,1
0.335,0.125,0.119,0.115,10,0,1
0.33,0.13,0.152,0.155,9,0,1
0.275,0.1,0.094,0.065,7,0,0
0.38,0.135,0.2875,0.155,10,0,1
0.305,0.12,0.1235,0.095,7,0,1
0.205,0.07,0.041,0.03,6,0,0
0.4,0.125,0.2125,0.24,15,1,0
0.34,0.13,0.153,0.13,10,1,0
0.41,0.115,0.2855,0.235,12,1,0
0.405,0.14,0.2665,0.285,12,0,1
0.365,0.13,0.165,0.205,21,1,0
0.175,0.055,0.027,0.018,6,0,0
0.185,0.06,0.0365,0.023,5,0,0
0.24,0.085,0.071,0.0535,7,0,0
0.25,0.08,0.0765,0.049,7,0,0
0.25,0.08,0.0735,0.0575,6,0,0
0.27,0.09,0.075,0.062,6,0,0
0.25,0.07,0.0655,0.054,6,0,0
0.3,0.085,0.1185,0.0745,7,0,0
0.275,0.135,0.108,0.0735,7,0,0
0.275,0.14,0.097,0.0615,6,0,0
0.275,0.095,0.086,0.0605,7,0,0
0.29,0.095,0.143,0.086,6,0,0
0.3,0.1,0.1215,0.09,7,0,0
0.29,0.095,0.138,0.082,7,0,0
0.29,0.095,0.127,0.077,6,0,0
0.31,0.1,0.13,0.094,6,0,0
0.325,0.1,0.208,0.106,6,0,0
0.32,0.11,0.175,0.109,7,0,0
0.305,0.1,0.156,0.091,6,0,1
0.325,0.1,0.1185,0.0945,6,0,0
0.365,0.115,0.2435,0.1465,9,0,0
0.335,0.1,0.2745,0.1105,7,0,0
0.325,0.1,0.1795,0.089,7,0,0
0.35,0.13,0.245,0.1405,8,0,0
0.375,0.12,0.266,0.169,8,0,1
0.365,0.125,0.229,0.172,9,0,0
0.365,0.135,0.2945,0.175,8,1,0
0.355,0.105,0.2175,0.1525,9,0,0
0.385,0.125,0.3065,0.1775,8,0,1
0.41,0.125,0.3355,0.214,9,1,0
0.4,0.125,0.27,0.166,9,0,1
0.44,0.14,0.3415,0.239,8,0,1
0.395,0.13,0.3375,0.225,8,0,1
0.405,0.125,0.4815,0.202,9,0,1
0.42,0.14,0.369,0.21,11,1,0
0.44,0.135,0.429,0.2375,10,1,0
0.43,0.125,0.4035,0.283,8,1,0
0.45,0.15,0.407,0.2875,10,0,1
0.45,0.15,0.362,0.2765,10,1,0
0.435,0.145,0.4985,0.2385,9,0,1
0.45,0.155,0.4735,0.265,10,0,1
0.455,0.15,0.3895,0.2745,9,0,1
0.435,0.13,0.349,0.194,10,0,1
0.465,0.14,0.442,0.2705,9,1,0
0.475,0.165,0.4545,0.3095,9,0,1
0.46,0.13,0.455,0.33,12,0,1
0.48,0.15,0.498,0.33,10,1,0
0.48,0.16,0.5225,0.32,8,1,0
0.475,0.16,0.547,0.271,6,1,0
0.465,0.14,0.5175,0.305,12,1,0
0.475,0.175,0.549,0.36,11,0,1
0.475,0.155,0.653,0.3205,10,1,0
0.495,0.175,0.606,0.3445,11,0,1
0.475,0.175,0.609,0.3985,10,1,0
0.455,0.16,0.421,0.325,9,0,1
0.5,0.175,0.5585,0.292,12,1,0
0.52,0.15,0.629,0.345,10,1,0
0.51,0.15,0.545,0.32,9,0,1
0.505,0.165,0.5315,0.41,12,0,1
0.505,0.16,0.6285,0.3685,11,1,0
0.5,0.165,0.6355,0.315,9,0,1
0.49,0.155,0.465,0.411,11,1,0
0.49,0.2,0.5895,0.381,11,1,0
0.505,0.165,0.4525,0.406,14,0,1
0.51,0.17,0.619,0.39,9,0,1
0.5,0.15,0.6495,0.31,10,1,0
0.485,0.165,0.668,0.2715,9,1,0
0.51,0.165,0.7595,0.321,8,1,0
0.525,0.175,0.675,0.399,11,0,1
0.52,0.165,0.586,0.405,9,0,1
0.58,0.205,0.959,0.601,17,0,1
0.53,0.17,0.5905,0.453,15,0,1
0.52,0.19,0.755,0.4,10,0,1
0.585,0.16,0.5445,0.413,10,1,0
0.525,0.17,0.784,0.455,12,1,0
0.525,0.155,0.628,0.42,9,1,0
0.56,0.195,0.861,0.415,11,1,0
0.54,0.16,0.833,0.475,11,1,0
0.56,0.22,0.8455,0.455,11,1,0
0.595,0.23,1.1465,0.897,17,0,1
0.14,0.05,0.0165,0.0135,6,0,0
0.175,0.055,0.025,0.021,5,0,0
0.175,0.065,0.031,0.017,3,0,0
0.19,0.05,0.0295,0.027,6,0,0
0.18,0.055,0.031,0.02,4,0,0
0.195,0.06,0.0345,0.0245,6,0,0
0.12,0.075,0.0455,0.0345,4,0,0
0.23,0.08,0.065,0.0385,5,0,0
0.235,0.08,0.05,0.043,4,0,0
0.23,0.095,0.056,0.037,6,0,0
0.22,0.07,0.062,0.037,5,0,0
0.235,0.075,0.0585,0.0425,6,0,0
0.23,0.07,0.053,0.04,8,0,0
0.24,0.09,0.07,0.0425,5,0,0
0.24,0.075,0.0825,0.05,6,0,0
0.265,0.085,0.0775,0.0445,6,0,0
0.25,0.075,0.0705,0.055,7,0,0
0.25,0.075,0.0945,0.0445,7,0,0
0.25,0.075,0.0665,0.045,5,0,0
0.25,0.07,0.104,0.055,7,0,0
0.265,0.1,0.111,0.065,7,0,0
0.29,0.095,0.1045,0.067,6,0,0
0.28,0.095,0.1505,0.0795,7,0,0
0.28,0.09,0.084,0.055,6,0,0
0.265,0.08,0.124,0.07,6,0,0
0.31,0.09,0.155,0.09,7,0,0
0.305,0.09,0.157,0.1,7,0,0
0.31,0.09,0.1635,0.091,6,0,0
0.33,0.09,0.17,0.09,6,0,0
0.32,0.115,0.169,0.1,5,0,0
0.315,0.1,0.157,0.09,6,0,0
0.34,0.1,0.164,0.1,6,0,0
0.315,0.1,0.1645,0.105,6,0,0
0.325,0.1,0.1575,0.105,7,0,0
0.325,0.09,0.217,0.095,7,0,0
0.325,0.12,0.1815,0.1125,8,0,0
0.34,0.115,0.1825,0.1145,6,0,0
0.345,0.13,0.209,0.134,6,0,0
0.325,0.09,0.148,0.105,7,0,0
0.335,0.11,0.2025,0.1195,6,1,0
0.35,0.13,0.1695,0.1195,7,0,0
0.36,0.13,0.191,0.137,7,0,0
0.355,0.105,0.197,0.1335,8,0,0
0.345,0.11,0.2355,0.1135,7,0,0
0.335,0.105,0.2335,0.119,7,0,0
0.355,0.125,0.225,0.1465,7,0,0
0.375,0.12,0.2355,0.1295,6,0,0
0.36,0.1,0.2325,0.115,7,0,0
0.345,0.105,0.196,0.1265,7,0,0
0.365,0.115,0.2315,0.113,7,0,0
0.37,0.115,0.261,0.143,7,0,0
0.345,0.11,0.1755,0.12,7,0,0
0.35,0.125,0.23,0.1095,6,1,0
0.365,0.12,0.327,0.14,8,0,1
0.365,0.12,0.29,0.146,8,1,0
0.37,0.125,0.222,0.15,9,0,1
0.36,0.12,0.3245,0.127,6,1,0
0.375,0.115,0.3205,0.17,6,0,1
0.385,0.145,0.2925,0.1575,6,0,1
0.36,0.1,0.194,0.115,8,0,1
0.365,0.12,0.312,0.14,7,0,1
0.37,0.115,0.1995,0.129,7,1,0
0.385,0.125,0.32,0.1695,8,0,1
0.395,0.135,0.3035,0.1495,8,0,1
0.4,0.135,0.272,0.144,7,0,1
0.39,0.135,0.3145,0.1565,6,0,1
0.385,0.12,0.2835,0.135,8,0,0
0.385,0.135,0.3195,0.1535,7,0,1
0.4,0.125,0.336,0.1825,7,0,1
0.39,0.13,0.3165,0.1785,9,1,0
0.39,0.15,0.362,0.156,8,0,0
0.41,0.125,0.289,0.155,9,0,1
0.355,0.125,0.25,0.185,8,0,0
0.39,0.135,0.3935,0.19,8,0,1
0.375,0.1,0.238,0.175,7,0,0
0.405,0.135,0.3655,0.18,7,0,0
0.405,0.15,0.347,0.1885,8,0,1
0.41,0.145,0.3865,0.1955,8,0,1
0.43,0.14,0.367,0.23,8,1,0
0.39,0.155,0.3695,0.155,7,0,1
0.415,0.14,0.3475,0.175,8,1,0
0.4,0.14,0.334,0.17,11,0,1
0.425,0.13,0.325,0.205,8,1,0
0.425,0.15,0.328,0.202,8,1,0
0.405,0.125,0.2715,0.186,7,0,1
0.4,0.135,0.3935,0.205,8,1,0
0.43,0.14,0.2855,0.2155,8,0,1
0.435,0.14,0.3735,0.2195,8,0,1
0.445,0.155,0.544,0.218,9,1,0
0.43,0.14,0.368,0.275,9,1,0
0.455,0.16,0.4525,0.274,9,1,0
0.4,0.13,0.3075,0.18,8,1,0
0.45,0.155,0.5625,0.295,10,0,1
0.45,0.155,0.513,0.343,10,0,1
0.455,0.15,0.54,0.27,8,1,0
0.445,0.14,0.5265,0.24,8,0,1
0.46,0.17,0.4075,0.214,7,0,1
0.475,0.16,0.4955,0.29,9,0,1
0.46,0.16,0.538,0.249,9,1,0
0.46,0.15,0.5575,0.29,7,1,0
0.46,0.18,0.4095,0.276,8,1,0
0.455,0.15,0.4985,0.2835,10,0,1
0.45,0.145,0.5585,0.29,8,1,0
0.49,0.13,0.586,0.237,9,0,1
0.465,0.155,0.5245,0.275,11,0,1
0.47,0.16,0.479,0.309,8,0,1
0.455,0.145,0.5155,0.25,8,1,0
0.47,0.155,0.4515,0.155,11,1,0
0.45,0.15,0.5865,0.25,11,1,0
0.475,0.165,0.621,0.274,9,0,1
0.46,0.14,0.4655,0.2515,9,1,0
0.455,0.15,0.518,0.27,9,0,1
0.49,0.15,0.5265,0.295,9,1,0
0.475,0.155,0.572,0.275,9,0,1
0.47,0.165,0.6025,0.2925,11,0,1
0.47,0.15,0.565,0.3085,11,0,1
0.475,0.155,0.554,0.3295,10,0,1
0.48,0.16,0.585,0.33,8,1,0
0.51,0.18,0.594,0.388,11,1,0
0.48,0.17,0.6235,0.365,10,1,0
0.49,0.175,0.5705,0.405,10,0,1
0.475,0.175,0.4755,0.349,10,1,0
0.5,0.165,0.573,0.315,9,1,0
0.485,0.2,0.5845,0.401,9,1,0
0.485,0.155,0.637,0.31,8,0,1
0.495,0.165,0.599,0.315,11,1,0
0.48,0.15,0.5185,0.3235,8,0,1
0.49,0.175,0.623,0.395,11,0,1
0.525,0.185,0.684,0.3745,10,0,1
0.505,0.155,0.705,0.335,10,0,1
0.5,0.17,0.693,0.409,11,1,0
0.5,0.175,0.4935,0.4,10,1,0
0.5,0.155,0.6145,0.3185,10,1,0
0.52,0.175,0.779,0.432,11,0,1
0.52,0.175,0.709,0.4,8,0,1
0.505,0.165,0.684,0.336,8,1,0
0.5,0.175,0.633,0.349,11,0,1
0.5,0.16,0.5475,0.3,10,1,0
0.515,0.15,0.515,0.385,10,1,0
0.495,0.16,0.57,0.3725,9,0,1
0.52,0.21,0.6665,0.46,11,0,1
0.525,0.185,0.6645,0.477,10,0,1
0.46,0.16,0.6895,0.1825,9,1,0
0.51,0.175,0.8515,0.403,10,1,0
0.505,0.185,0.69,0.441,11,1,0
0.535,0.19,0.6425,0.5175,9,0,1
0.495,0.195,0.594,0.485,10,0,1
0.475,0.18,0.641,0.335,6,1,0
0.525,0.165,0.682,0.4005,11,0,1
0.57,0.225,0.739,0.435,10,1,0
0.565,0.195,0.7645,0.553,12,1,0
0.535,0.185,0.7245,0.498,12,0,1
0.525,0.175,0.8255,0.405,8,0,1
0.505,0.2,0.893,0.48,10,0,1
0.535,0.175,0.8035,0.503,10,1,0
0.535,0.18,0.693,0.4045,12,1,0
0.565,0.205,1.012,0.5475,11,0,1
0.565,0.175,0.7645,0.4135,10,0,1
0.525,0.185,0.6655,0.405,11,1,0
0.6,0.22,1.1335,0.6,11,1,0
0.6,0.22,1.007,0.6205,12,0,1
0.13,0.045,0.012,0.0095,4,0,0
0.15,0.045,0.018,0.011,3,0,0
0.135,0.04,0.0135,0.0095,4,0,0
0.155,0.04,0.0155,0.007,4,0,0
0.165,0.055,0.027,0.015,4,0,0
0.18,0.065,0.03,0.0215,4,0,0
0.18,0.065,0.0245,0.0225,5,0,0
0.195,0.055,0.0365,0.025,7,0,0
0.195,0.065,0.054,0.028,6,0,0
0.21,0.085,0.0415,0.034,5,0,0
0.22,0.065,0.0405,0.03,5,0,0
0.22,0.08,0.055,0.039,6,0,0
0.235,0.055,0.065,0.039,6,0,0
0.225,0.085,0.0675,0.0405,6,0,0
0.265,0.08,0.09,0.055,5,0,0
0.28,0.1,0.1165,0.0635,6,0,0
0.28,0.08,0.1125,0.067,6,0,0
0.275,0.1,0.1165,0.065,6,0,0
0.29,0.08,0.122,0.065,7,0,0
0.32,0.095,0.194,0.087,6,0,0
0.3,0.11,0.172,0.093,7,0,0
0.3,0.1,0.1255,0.0875,7,0,0
0.325,0.1,0.132,0.106,6,0,0
0.3,0.105,0.1255,0.1035,7,0,0
0.32,0.11,0.174,0.105,7,0,0
0.31,0.095,0.1255,0.088,6,0,0
0.325,0.115,0.162,0.1045,7,0,0
0.335,0.12,0.1985,0.1035,7,0,1
0.33,0.11,0.2055,0.096,6,0,0
0.345,0.115,0.222,0.106,7,0,0
0.33,0.11,0.1545,0.12,7,0,0
0.345,0.105,0.1675,0.117,7,0,0
0.34,0.145,0.1945,0.13,7,0,0
0.335,0.11,0.1985,0.109,8,0,0
0.365,0.125,0.2135,0.1315,8,0,0
0.34,0.12,0.241,0.12,6,0,0
0.33,0.105,0.1865,0.0975,7,0,0
0.33,0.1,0.1945,0.098,6,0,0
0.33,0.11,0.16,0.102,6,0,0
0.35,0.115,0.18,0.1175,7,0,0
0.36,0.105,0.27,0.129,7,0,1
0.38,0.125,0.211,0.142,6,0,0
0.35,0.11,0.206,0.13,6,0,0
0.35,0.1,0.2165,0.115,7,0,0
0.38,0.125,0.3395,0.1665,8,0,0
0.465,0.125,0.235,0.141,7,0,1
0.375,0.14,0.248,0.1585,7,0,0
0.375,0.12,0.215,0.17,9,0,0
0.38,0.125,0.2485,0.134,8,0,0
0.39,0.125,0.2485,0.131,6,0,1
0.39,0.125,0.246,0.1405,7,1,0
0.405,0.125,0.3465,0.182,8,0,0
0.4,0.125,0.261,0.1385,6,1,0
0.4,0.125,0.2615,0.1525,9,0,0
0.38,0.115,0.215,0.166,8,0,0
0.385,0.125,0.3175,0.15,8,0,0
0.4,0.145,0.3525,0.185,9,0,1
0.38,0.135,0.2295,0.157,8,0,0
0.38,0.125,0.288,0.167,8,0,0
0.46,0.15,0.523,0.254,7,1,0
0.4,0.13,0.325,0.17,8,0,0
0.4,0.14,0.2625,0.1835,9,0,0
0.405,0.12,0.3755,0.201,9,0,1
0.395,0.12,0.297,0.1405,8,0,0
0.4,0.125,0.279,0.19,8,0,0
0.39,0.125,0.2595,0.169,9,0,0
0.42,0.14,0.3125,0.1895,10,0,0
0.39,0.135,0.4225,0.156,7,0,1
0.41,0.12,0.434,0.19,9,0,1
0.415,0.14,0.4615,0.218,9,0,1
0.415,0.135,0.427,0.175,8,1,0
0.43,0.15,0.395,0.223,8,1,0
0.425,0.15,0.411,0.2165,10,0,1
0.43,0.145,0.464,0.234,9,0,1
0.445,0.16,0.42,0.2215,8,0,1
0.44,0.155,0.336,0.245,8,1,0
0.415,0.145,0.43,0.205,8,0,1
0.455,0.15,0.4565,0.23,9,0,1
0.435,0.15,0.5795,0.206,8,0,1
0.45,0.175,0.447,0.2645,9,1,0
0.46,0.15,0.5415,0.25,9,0,1
0.445,0.145,0.412,0.22,8,1,0
0.44,0.15,0.3425,0.224,8,0,0
0.46,0.145,0.466,0.265,7,1,0
0.45,0.16,0.556,0.2575,10,1,0
0.435,0.14,0.401,0.222,9,0,1
0.47,0.165,0.435,0.238,9,1,0
0.455,0.135,0.4245,0.26,9,0,1
0.435,0.13,0.3155,0.245,10,0,0
0.445,0.17,0.549,0.228,9,0,1
0.445,0.145,0.415,0.22,9,0,1
0.455,0.15,0.4765,0.265,8,0,1
0.455,0.195,0.945,0.441,9,0,1
0.445,0.135,0.3775,0.22,9,0,1
0.45,0.14,0.486,0.253,9,0,1
0.45,0.145,0.547,0.2295,8,0,1
0.45,0.155,0.385,0.265,9,1,0
0.46,0.145,0.478,0.235,9,0,1
0.465,0.16,0.4595,0.265,7,0,1
0.47,0.15,0.481,0.24,8,0,1
0.475,0.16,0.485,0.2565,9,1,0
0.455,0.17,0.696,0.24,8,0,1
0.465,0.15,0.5455,0.25,8,1,0
0.465,0.155,0.512,0.225,10,0,1
0.47,0.165,0.611,0.292,9,1,0
0.475,0.14,0.555,0.274,9,0,1
0.48,0.17,0.582,0.317,10,0,1
0.475,0.165,0.433,0.357,9,1,0
0.485,0.16,0.5315,0.2415,8,0,1
0.485,0.145,0.783,0.2865,9,0,1
0.47,0.165,0.498,0.267,9,0,1
0.46,0.17,0.4815,0.27,10,0,1
0.465,0.15,0.4615,0.2415,9,1,0
0.475,0.155,0.447,0.285,9,1,0
0.47,0.135,0.5315,0.2475,8,0,1
0.45,0.2,0.4285,0.2405,8,0,1
0.48,0.16,0.5635,0.281,8,1,0
0.485,0.175,0.7335,0.332,9,1,0
0.48,0.185,0.587,0.286,8,0,1
0.47,0.155,0.589,0.287,8,0,1
0.5,0.175,0.5635,0.3425,10,0,1
0.495,0.015,0.5115,0.2885,9,1,0
0.515,0.165,0.632,0.358,10,0,1
0.53,0.195,0.6465,0.3735,10,0,1
0.48,0.17,0.528,0.305,10,1,0
0.5,0.19,0.6415,0.4245,9,1,0
0.5,0.155,0.565,0.294,11,0,1
0.515,0.16,0.553,0.345,11,0,1
0.51,0.175,0.5885,0.364,10,1,0
0.53,0.185,0.546,0.476,11,1,0
0.525,0.16,0.629,0.34,8,0,1
0.5,0.17,0.6035,0.3595,9,0,0
0.505,0.205,0.6075,0.353,9,1,0
0.54,0.215,0.664,0.4735,14,1,0
0.52,0.165,0.699,0.4,10,0,1
0.54,0.155,0.624,0.39,9,1,0
0.53,0.21,0.7355,0.3865,12,0,1
0.53,0.17,0.7945,0.3695,9,1,0
0.56,0.185,0.885,0.4375,10,0,1
0.565,0.18,0.895,0.446,9,0,1
0.575,0.19,1.095,0.638,12,0,1
0.525,0.19,0.8545,0.3995,9,1,0
0.55,0.17,0.6395,0.301,9,1,0
0.56,0.18,0.735,0.4525,11,1,0
0.55,0.19,1.0465,0.5075,12,0,1
0.535,0.19,0.889,0.42,10,0,1
0.58,0.195,1.0265,0.5375,10,1,0
0.55,0.2,0.9035,0.5215,10,1,0
0.565,0.145,0.691,0.2685,8,0,1
0.505,0.185,1.026,0.4505,12,0,1
0.575,0.185,0.931,0.4825,12,1,0
0.585,0.185,0.952,0.5,11,0,1
0.565,0.215,0.896,0.5,11,0,1
0.57,0.21,1.109,0.545,11,1,0
0.625,0.21,1.1965,0.6785,11,1,0
0.58,0.205,0.8295,0.595,10,0,1
0.63,0.215,1.488,0.586,11,1,0
0.375,0.12,0.196,0.15,6,0,0
0.205,0.06,0.034,0.0215,4,0,0
0.185,0.065,0.0295,0.0225,5,0,0
0.19,0.065,0.039,0.025,5,0,0
0.195,0.09,0.0545,0.0355,6,0,0
0.215,0.065,0.044,0.038,5,0,0
0.225,0.07,0.435,0.04,5,0,0
0.23,0.08,0.0545,0.0445,5,0,0
0.23,0.07,0.046,0.0385,5,0,0
0.225,0.075,0.0565,0.09,6,0,0
0.25,0.095,0.102,0.052,7,0,0
0.205,0.095,0.077,0.0435,5,0,0
0.245,0.09,0.096,0.048,7,0,0
0.25,0.09,0.0775,0.055,6,0,0
0.255,0.095,0.0925,0.055,6,0,0
0.255,0.085,0.105,0.05,5,0,0
0.27,0.075,0.1,0.065,6,0,0
0.255,0.09,0.0855,0.0525,8,0,0
0.27,0.085,0.0875,0.064,4,0,0
0.27,0.085,0.081,0.058,6,0,0
0.27,0.085,0.0825,0.06,7,0,0
0.265,0.085,0.0945,0.06,7,0,0
